,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,label
2283,1,14,1,10,1,14,1,2,1,2,3,0,0,0,1,1,0,21,0,9,11,14,10,12.4,0,6,10,13,10,11.8,0,13.9,-0.3,0.79,Graduate
3874,1,12,1,8,1,1,1,1,1,12,2,1,0,1,0,1,0,41,0,0,5,5,0,0,1,0,5,5,0,0,5,12.7,3.7,-1.7,Dropout
2281,1,15,1,4,1,14,1,1,28,10,7,0,0,0,1,1,0,21,0,0,6,13,4,11.75,0,0,6,15,4,10.5,0,15.5,2.8,-4.06,Enrolled
817,1,7,1,5,1,1,1,1,1,5,5,1,0,0,1,0,0,18,0,0,6,6,6,14.5,0,0,6,6,6,12.83333333,0,12.4,0.5,1.79,Graduate
404,1,8,1,12,1,1,1,22,27,6,6,1,0,0,1,0,0,19,0,0,8,8,7,14.73142857,0,0,8,8,7,14.73142857,0,10.8,1.4,1.74,Graduate
3126,1,8,1,10,1,1,1,22,14,10,9,1,0,0,1,0,0,21,0,0,6,11,6,10.375,0,0,6,12,3,11.66666667,0,12.7,3.7,-1.7,Enrolled
959,1,1,3,14,1,1,1,11,9,1,1,1,0,0,0,1,0,19,0,0,5,5,0,0,0,0,4,4,0,0,0,7.6,2.6,0.32,Dropout
4245,1,9,4,16,1,1,1,13,27,10,7,1,0,1,0,0,0,20,0,0,7,9,0,0,0,0,6,6,0,0,0,11.1,0.6,2.02,Dropout
929,1,1,1,10,1,1,1,13,27,1,1,1,0,0,1,0,0,19,0,0,6,10,0,0,4,0,6,0,0,0,0,7.6,2.6,0.32,Dropout
3216,1,8,2,11,1,1,1,3,3,3,3,0,0,0,0,1,0,18,0,0,6,9,5,11.2,0,0,6,14,2,10,0,9.4,-0.8,-3.12,Dropout
532,1,1,2,12,1,1,1,4,2,3,4,1,0,0,1,1,0,18,0,0,8,8,7,11.69,0,0,8,8,7,11.69,0,10.8,1.4,1.74,Graduate
401,1,8,1,11,1,1,1,22,27,8,8,1,0,0,1,0,0,20,0,0,6,13,3,10.33333333,0,0,6,12,3,10.33333333,0,10.8,1.4,1.74,Enrolled
4199,1,1,1,12,1,1,1,23,28,6,6,1,0,0,1,0,1,20,0,0,8,8,7,12.74428571,0,0,8,8,7,12.74428571,0,10.8,1.4,1.74,Graduate
3816,1,1,1,10,1,1,1,13,14,10,10,1,0,0,1,1,0,19,0,0,6,9,4,11.5,0,0,6,12,3,11,0,8.9,1.4,3.51,Dropout
1090,1,8,1,8,1,1,1,1,1,5,6,0,0,0,1,0,0,18,0,0,5,7,4,12,0,0,5,6,5,12,0,7.6,2.6,0.32,Graduate
2383,1,17,1,4,1,1,1,13,1,10,10,0,0,1,1,1,0,21,0,7,12,20,10,11.8,0,5,12,15,9,11.44444444,0,8.9,1.4,3.51,Enrolled
2650,1,1,1,12,1,1,1,3,1,3,9,0,0,0,1,1,0,20,0,0,7,10,5,13.97666667,0,0,8,9,8,13.22222222,0,12.4,0.5,1.79,Enrolled
4346,1,8,2,11,1,1,1,10,14,6,6,1,0,0,1,0,0,20,0,0,6,16,1,10,0,0,6,12,0,0,0,10.8,1.4,1.74,Dropout
3463,1,1,1,16,1,1,1,1,27,10,10,1,0,0,1,0,0,19,0,0,6,11,3,10.33333333,0,0,6,10,5,11.8,0,9.4,-0.8,-3.12,Enrolled
3836,1,14,1,15,1,1,1,1,3,10,4,0,0,0,0,1,0,22,0,0,4,4,0,0,4,0,5,8,3,12,0,10.8,1.4,1.74,Dropout
1242,1,12,1,7,1,12,1,1,14,5,6,0,0,0,1,1,0,25,0,0,5,13,1,11,0,0,5,11,1,10,0,13.9,-0.3,0.79,Enrolled
3679,1,3,2,16,1,1,1,13,14,4,4,1,0,0,1,0,1,19,0,0,6,8,6,12.66666667,0,0,6,7,6,12,0,12.7,3.7,-1.7,Graduate
3632,1,15,1,10,1,14,1,22,14,29,15,1,0,1,1,0,0,21,0,3,6,8,3,12,0,2,6,6,2,12.5,0,12.4,0.5,1.79,Enrolled
3460,1,1,2,12,1,1,1,23,27,10,8,1,0,0,1,0,1,19,0,0,7,7,6,12.9,0,0,7,7,6,12.9,0,7.6,2.6,0.32,Graduate
4285,1,1,5,9,1,1,1,3,2,3,3,0,0,0,1,1,0,22,0,1,5,10,4,11.75,0,0,5,10,3,11,0,7.6,2.6,0.32,Enrolled
1597,1,1,1,15,1,1,1,13,1,10,10,0,0,0,1,1,1,18,0,0,6,7,6,15.57142857,0,0,6,7,6,16.14285714,0,13.9,-0.3,0.79,Graduate
2565,1,6,1,10,1,1,12,13,14,10,7,0,0,0,1,1,0,21,1,0,6,7,6,12.33333333,0,0,6,7,6,13.42857143,0,11.1,0.6,2.02,Graduate
3319,1,7,2,5,1,1,1,1,1,4,2,1,0,1,1,1,0,19,0,0,6,11,5,11.2,0,0,6,7,6,12,0,9.4,-0.8,-3.12,Graduate
3210,1,4,1,4,1,3,1,3,3,7,3,1,0,0,1,1,0,29,0,1,6,10,6,17.11111111,0,2,6,9,6,15.57142857,0,13.9,-0.3,0.79,Graduate
874,1,1,1,4,1,1,1,1,14,32,45,0,0,1,1,1,0,18,0,0,6,6,5,15,0,0,6,8,4,14.5,0,8.9,1.4,3.51,Graduate
4252,2,1,1,17,0,1,1,13,14,10,10,0,0,0,1,0,0,28,0,0,5,5,5,12,0,0,5,6,5,11.6,0,7.6,2.6,0.32,Graduate
